,contractor,country,value_in_euro,order_purpose,period_start,period_end,year
1,2H ENERGY,FRA,102008,BOITIER PRISES PC2 EQUIPE,2012-07-12,2012-12-12,2012
2,2H ENERGY,FRA,118200,ACCOUPLEMENT COMPLET BT 242,2012-07-12,2012-12-12,2012
3,3 M DEUTSCHLAND GMBH US,,,,,2012-07-12,2012-12-12
4,,DEU,84050,COMTAC XP FINNISH LOGOTYPE,2012-07-12,2012-12-12,2012
5,GOVERNMENT SERVICES EUROPE/3M,,,,,2012-07-12,2012-12-12
6,3M SERVICES GMBH,DEU,129774,HI VISIBILITY BELTS,2012-07-12,2012-12-12,2012
7,AEM LTD,GBR,113331,PROVISION OF SERVICES FOR FIXED WING AIRCRAFT,2012-07-12,2012-12-12,2012
8,AERAZUR - ZODIAC AEROSPACE,FRA,109640,"FIXTURE, LIGHTING",2012-07-12,2012-12-12,2012
9,AERAZUR - ZODIAC AEROSPACE,FRA,1413508,PARACHUTE DORSAL EPC-B,2012-07-12,2012-12-12,2012
10,AERO PRECISION INDUSTRIES INC,USA,264332,PROCUREMENT OF PARTS,2012-07-12,2012-12-12,2012
11,AEROSPACE INTL REPS,USA,86045,PROCUREMENT OF PARTS,2012-07-12,2012-12-12,2012
12,AGILENT TECHNOLOGIES ITALIA SPA,ITA,348501,SUPPLIES FOR FIXED WING AIRCRAFT,2012-07-12,2012-12-12,2012
13,AGUSTAWESTLAND LTD,GBR,1001332,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
14,AIMPOINT AB,SWE,141600,"SIGTE,RØDPUNKTS,AIMPOINT M4S",2012-07-12,2012-12-12,2012
15,AIMPOINT AB,SWE,181927,COMPM3 2MOA,2012-07-12,2012-12-12,2012
16,ALCATEL-LUCENT,BEL,171392,CIS SUPPLY,2012-07-12,2012-12-12,2012
17,ALCATEL-LUCENT,BEL,357795,CIS SUPPLY,2012-07-12,2012-12-12,2012
18,ALENIA AERMACCHI SPA,ITA,86601,SUPPLIES FOR FIXED WING AIRCRAFT,2012-07-12,2012-12-12,2012
19,ALLEN-VANGUARD LTDASHCHURCH,ASHCHURCH,,,2012-07-12,2012-12-12,2012
20,,GBR,111060,UNDER VEHICLE TROLLEY MIRROR,2012-07-12,2012-12-12,2012
21,BUSINESS CENTRE,,,,,2012-07-12,2012-12-12
22,,,,"PROCUREMENT OF BLANK AMMUNITION 7,62",2012-07-12,2012-12-12,2012
23,AREX D.O.O.,,SVN,543561,,2012-07-12,2012-12-12
24,,,,MM,2012-07-12,2012-12-12,2012
25,ARMAMENT SYSTEMS &,,,,2012-07-12,2012-12-12,2012
26,,USA,94208,SIDEBREAK SCABBARDS SLIDE BLACK,2012-07-12,2012-12-12,2012
27,PROCEDURES INC,,,,2012-07-12,2012-12-12,2012
28,ARMAMENT SYSTEMS &,,,,2012-07-12,2012-12-12,2012
29,,USA,226366,F21FB FOAM BLACK CHROME,2012-07-12,2012-12-12,2012
30,PROCEDURES INC,,,,2012-07-12,2012-12-12,2012
31,ARMAR CORP GENERAL TECHNICAL,BGR,366588,MAILLONS & AMMO BOXES FOR MACHINE GUN,2012-07-12,2012-12-12,2012
32,ARPA SA EQUIPOS MOVILES DE,,,,2012-07-12,2012-12-12,2012
33,,ESP,905534,MUNITIONS SHIPPING AND STORAGE CONT,2012-07-12,2012-12-12,2012
34,CAMPANA ARPA,,,,2012-07-12,2012-12-12,2012
35,AVIALL INC,FRA,384067,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
36,AVIALL INC,FRA,79140,SUPPLIES FOR FIXED WING AIRCRAFT,2012-07-12,2012-12-12,2012
37,AVIALL INC,FRA,226146,SUPPLIES FOR FIXED WING AIRCRAFT,2012-07-12,2012-12-12,2012
38,AVIALL INC,FRA,137536,SUPPLIES FOR FIXED WING AIRCRAFT,2012-07-12,2012-12-12,2012
39,AVIALL INC,FRA,115182,SUPPLIES FOR FIXED WING AIRCRAFT,2012-07-12,2012-12-12,2012
40,BAE SYSTEMS GLOBAL COMBAT,,,,2012-07-12,2012-12-12,2012
41,SYSTEMS M,GBR,4642555,CARTRIDGES,2012-07-12,2012-12-12,2012
42,BAE SYSTEMS HÄGGLUNDS AB,SWE,89356,SPROCKET WHEEL,2012-07-12,2012-12-12,2012
43,BAE SYSTEMS HÄGGLUNDS AB,SWE,97803,ROAD WHEEL WITH BEARING,2012-07-12,2012-12-12,2012
44,BAE SYSTEMS HÄGGLUNDS AB,SWE,100125,"ROAD WHEEL, WITH BEARING",2012-07-12,2012-12-12,2012
45,BAE SYSTEMS HÄGGLUNDS AB,SWE,100125,"ROAD WHEEL, WITH BEARING",2012-07-12,2012-12-12,2012
46,BELL HELICOPTER SUPPLY CENTER,,,,2012-07-12,2012-12-12,2012
47,,NLD,1676772,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
48,BV,,,,2012-07-12,2012-12-12,2012
49,BELL HELICOPTER SUPPLY CENTER,,,,2012-07-12,2012-12-12,2012
50,,NLD,108026,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
51,BV,,,,2012-07-12,2012-12-12,2012
52,BELL HELICOPTER SUPPLY CENTER,,,,2012-07-12,2012-12-12,2012
53,,NLD,589482,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
54,BV,,,,2012-07-12,2012-12-12,2012
55,BELL HELICOPTER SUPPLY CENTER,,,,2012-07-12,2012-12-12,2012
56,,NLD,103634,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
57,BV,,,,2012-07-12,2012-12-12,2012
58,BREN-TRONICS INC,USA,90760,"BATTERY,STORAGE",2012-07-12,2012-12-12,2012
59,BUMAR AMUNICJA SA,POL,166000,"CARTRIDGES, CALIBER 50",2012-07-12,2012-12-12,2012
60,BUNDESPOLIZEI FLIEGERGRUPPE,DEU,96584,PROVISION OF SERVICES FOR HELICOPTER,2012-07-12,2012-12-12,2012
61,CAE AVIATION SARL,LUX,1303165,CAMÉRA MX15DI,2012-07-12,2012-12-12,2012
62,CAMELBAK PRODUCTS INC,USA,77100,FIELD CLEANING KIT (INCL 2 CLEANING,2012-07-12,2012-12-12,2012
63,CAMELBAK PRODUCTS INC,USA,91540,CBR 4.0 THERMOBAK 3L OMEGA 100 OZ/3,2012-07-12,2012-12-12,2012
64,CAMELBAK PRODUCTS INC,USA,673380,CBR X THERMOBAK 3L MG OMEGA COYOTE,2012-07-12,2012-12-12,2012
65,CAMOPLAST SOLIDEAL,USA,150139,EXTERNAL DRIVE - TRACK,2012-07-12,2012-12-12,2012
66,CAMOPLAST SOLIDEAL,USA,153495,EXTERNAL DRIVE - TRACK,2012-07-12,2012-12-12,2012
67,CAMP SUPPLY INTERNATIONAL,NOR,287460,SERVICE CONCEPT AT CSI AFTER EX A,2012-07-12,2012-12-12,2012
68,CAPLOCK TRADING COMPANY,GBR,139500,CAMOUFLAGE FACE PAINT,2012-07-12,2012-12-12,2012
69,CASCADE DESIGNS INC,USA,361500,MSR EVO ASCENT SNOW SHOES,2012-07-12,2012-12-12,2012
70,CENREX SP ZOO,POL,152090,IZLID 1000P IR LASER POINTERS/ILLUM,2012-07-12,2012-12-12,2012
71,CENREX SP ZOO,POL,280437,"GBD III LASER POINTER (532-A1), INC",2012-07-12,2012-12-12,2012
72,CHEMRING COUNTERMEASURES LTD,GBR,526320,FLARES COUNTERMEASURE,2012-07-12,2012-12-12,2012
73,CHEMRING COUNTERMEASURES LTD,GBR,638106,"CHAFFS, COUNTERMEASURE",2012-07-12,2012-12-12,2012
74,CONSOLITE TECHNOLOGY LTD,GBR,127996,SUPPLIES FOR FIXED WING AIRCRAFT,2012-07-12,2012-12-12,2012
75,CONTINENTAL FRANCE SNC,FRA,239400,"TIRE,PNEUMATIC,VEHICULAR",2012-07-12,2012-12-12,2012
76,CRANE ELECTRONICS INC,USA,983378,AMPLIFIER,2012-07-12,2012-12-12,2012
77,CYALUME TECHNOLOGIES SAS,FRA,133500,"6"" BLUE 8HR PF",2012-07-12,2012-12-12,2012
78,CYALUME TECHNOLOGIES SAS,FRA,178000,"6"" GREEN 12HR PF",2012-07-12,2012-12-12,2012
79,DANIMA ENGINEERING,,,,2012-07-12,2012-12-12,2012
80,,ESP,123570,PLATAFORMA MIXTA,2012-07-12,2012-12-12,2012
81,ENVIRONMENTAL SA,,,,2012-07-12,2012-12-12,2012
82,DANIMA ENGINEERING,,,,2012-07-12,2012-12-12,2012
83,,ESP,205950,PLATAFORMA MIXTA,2012-07-12,2012-12-12,2012
84,ENVIRONMENTAL SA,,,,2012-07-12,2012-12-12,2012
85,DANIMA ENGINEERING,,,,2012-07-12,2012-12-12,2012
86,,ESP,377390,DANROLL 4 EJES 8*4,2012-07-12,2012-12-12,2012
87,ENVIRONMENTAL SA,,,,2012-07-12,2012-12-12,2012
88,DANIMA ENGINEERING,,,,2012-07-12,2012-12-12,2012
89,ENVIRONMENTAL SA,ESP,386140,SMIC,2012-07-12,2012-12-12,2012
90,DANIMA ENGINEERING,,,,2012-07-12,2012-12-12,2012
91,,ESP,436500,REM. VEMPAR LOGISTICO,2012-07-12,2012-12-12,2012
92,ENVIRONMENTAL SA,,,,2012-07-12,2012-12-12,2012
93,DANIMA ENGINEERING,,,,2012-07-12,2012-12-12,2012
94,,ESP,528346,DANROLL 4 EJES 8*4,2012-07-12,2012-12-12,2012
95,ENVIRONMENTAL SA,,,,2012-07-12,2012-12-12,2012
96,DANIMA ENGINEERING,,,,2012-07-12,2012-12-12,2012
97,ENVIRONMENTAL SA,ESP,540596,SMIC,2012-07-12,2012-12-12,2012
98,DANIMA ENGINEERING,,,,2012-07-12,2012-12-12,2012
99,,ESP,611100,REM. VEMPAR LOGISTICO,2012-07-12,2012-12-12,2012
100,ENVIRONMENTAL SA,,,,2012-07-12,2012-12-12,2012
101,DANIMA ENGINEERING,,,,2012-07-12,2012-12-12,2012
102,,ESP,700230,PLATAFORMA MIXTA,2012-07-12,2012-12-12,2012
103,ENVIRONMENTAL SA,,,,2012-07-12,2012-12-12,2012
104,DANTHERM AIR HANDLING A/S,DNK,95648,AIR CONDITIONER WITH 6/16 KW HEATIN,2012-07-12,2012-12-12,2012
105,DEFENSE TRADING CORPORATION,USA,95942,PROCUREMENT OF 8 VACUUM FLUORESCENT DISPLAYS,2012-07-12,2012-12-12,2012
106,DEFENSE TRADING CORPORATION,USA,202647,"HEATER,VEHICULAR,COMPARTMENT",2012-07-12,2012-12-12,2012
107,DESARROLLO DE EQUIPOS,,,,2012-07-12,2012-12-12,2012
108,,ESP,78000,"HOLSTER,PISTOL",2012-07-12,2012-12-12,2012
109,MILITARES SL,,,,2012-07-12,2012-12-12,2012
110,DIEHL BGT DEFENCE GMBH & CO KG,DEU,2583500,CARTRIDGES,2012-07-12,2012-12-12,2012
111,DIEHL DEFENCE LAND SYSTEMS,,,,2012-07-12,2012-12-12,2012
112,,DEU,253470,LAUFPOLSTER 840 B,2012-07-12,2012-12-12,2012
113,GMBH,,,,2012-07-12,2012-12-12,2012
114,DIEHL DEFENCE LAND SYSTEMS,,,,,2012-07-12,2012-12-12
115,GMBH,DEU,555600,PAD TRACK SHOE,,2012-07-12,2012-12-12
116,DIEHL DEFENCE LAND SYSTEMS,,,,,2012-07-12,2012-12-12
117,,DEU,593175,SPROCKET 570 E,,2012-07-12,2012-12-12
118,GMBH,,,,,2012-07-12,2012-12-12
119,DIMENSION DATA LUXEMBOURG,LUX,111732,LICENSES,,2012-07-12,2012-12-12
120,DUNLOP AIRCRAFT TYRES LTD,GBR,141520,SUPPLIES FOR FIXED WING AIRCRAFT,,2012-07-12,2012-12-12
121,CASSIDIAN EADS DEUTSCHLAND,,,,,2012-07-12,2012-12-12
122,,DEU,84910,"CHAMBER,CABLE TERMINAL",,2012-07-12,2012-12-12
123,GMBH,,,,,2012-07-12,2012-12-12
124,EADS-CASA,ESP,173372,SUPPLIES FOR FIXED WING AIRCRAFT,,2012-07-12,2012-12-12
125,EADS-CASA,ESP,324286,SUPPLIES FOR FIXED WING AIRCRAFT,,2012-07-12,2012-12-12
126,EADS-CASA,ESP,80843,SUPPLIES FOR FIXED WING AIRCRAFT,,2012-07-12,2012-12-12
127,EADS-CASA,ESP,91192,SUPPLIES FOR FIXED WING AIRCRAFT,,2012-07-12,2012-12-12
128,EADS-CASA,ESP,167046,SUPPLIES FOR FIXED WING AIRCRAFT,,2012-07-12,2012-12-12
129,EAGLE INDUSTRIES UNLIMITED INC,USA,243954,FFG AVIATOR KIT,,2012-07-12,2012-12-12
130,ECOLOG INTERNATIONAL,,,,,2012-07-12,2012-12-12
131,,DEU,307049,KAF FACILITY IMPROVEMENT PROJECT,,2012-07-12,2012-12-12
132,DEUTSCHLAND GM,,,,,2012-07-12,2012-12-12
133,EL SIGLO (RAMON CONFORTO,,,,,2012-07-12,2012-12-12
134,,ESP,304535,IC34 TRIPLE CURVE BALLISTIC PLATE,2012-07-12,2012-12-12,2012
135,ARANDA),,,,,2012-07-12,2012-12-12
136,ELNIC GESELLSCHAFT FUER,DEU,306928,DIGITAL ENCODERS,,2012-07-12,2012-12-12
137,EMTRONIX SARL,LUX,128750,DEVELOPMENT AND PRODUCTION OF DISPLAY CONSOLES IN REPLACEMENT OF THE EXISTING,,2012-07-12,2012-12-12
138,ENERSYS LIMITED,GBR,120892,HMD-22 UNITS. ARMASAFE NBB 248,,2012-07-12,2012-12-12
139,ENERSYS LIMITED,GBR,127204,ARMASAFE BB-10N,,2012-07-12,2012-12-12
140,ENERSYS LIMITED,GBR,164206,ARMASAFE MAN 9750N7036,,2012-07-12,2012-12-12
141,ENERSYS LIMITED,GBR,211557,ARMASAFE PLUS NBB248,2012-07-12,2012-12-12,2012
142,ENERSYS LIMITED,GBR,408435,ARMASAFE UK6TNMF,2012-07-12,2012-12-12,2012
143,ENERSYS LIMITED,GBR,1213229,ARMASAFE DUTCH MOD,2012-07-12,2012-12-12,2012
144,EOLANE,FRA,127443,BANC MAINTENANCE COMPLET//*MS*,2012-07-12,2012-12-12,2012
145,EOLANE,FRA,246250,DISPOSITIF DE MISE À L’HEURE DES MO,2012-07-12,2012-12-12,2012
146,EOLANE,FRA,406617,COFFRET UMAT IP IND,2012-07-12,2012-12-12,2012
147,ESDT,FRA,90880,VIEWER INFRARED,2012-07-12,2012-12-12,2012
148,ESG,DEU,1275470,PROVISION OF SERVICES FOR FIXED WING AIRCRAFT,2012-07-12,2012-12-12,2012
149,EURENCO,FRA,81443,"CHARGES, DEMOLITION",2012-07-12,2012-12-12,2012
150,EXPAL SA,ESP,145500,"BOMB, PRACTICE BDU-33 & SIGNAL CARTRIDGES",2012-07-12,2012-12-12,2012
151,EXPAL SA,ESP,80400,CARTRIDGE 5.56 MM,2012-07-12,2012-12-12,2012
152,EXPAL SA,ESP,570000,"PRIMERS, PERCUSSION M82",2012-07-12,2012-12-12,2012
153,EYE SAFETY SYSTEMS INC,USA,104980,CROSSBOW SUPPRESSOR 2X,2012-07-12,2012-12-12,2012
154,EYE SAFETY SYSTEMS INC,USA,168090,CROSSBOW 3LS,2012-07-12,2012-12-12,2012
155,EYE SAFETY SYSTEMS INC,USA,741750,CROSSBOW SUPPRESSOR 2X,2012-07-12,2012-12-12,2012
156,FABRICA ESPANOLA DE,,,,2012-07-12,2012-12-12,2012
157,,ESP,89775,"VEST,SMALL ARMS PROTECTIVE BODY ARM",2012-07-12,2012-12-12,2012
158,CONFECCIONES SA,,,,2012-07-12,2012-12-12,2012
159,FABRICA ESPANOLA DE,,,,2012-07-12,2012-12-12,2012
160,,ESP,221340,TECHOS VIVAC ARIDOS PIXELADOS - BIV,2012-07-12,2012-12-12,2012
161,CONFECCIONES SA,,,,2012-07-12,2012-12-12,2012
162,FABRICA ESPANOLA DE,,,,2012-07-12,2012-12-12,2012
163,,ESP,486090,FUNDAS VIVAC ARIDAS PIXELADAS - BIV,2012-07-12,2012-12-12,2012
164,CONFECCIONES SA,,,,2012-07-12,2012-12-12,2012
165,FABRICA ESPANOLA DE,,,,2012-07-12,2012-12-12,2012
166,CONFECCIONES SA,ESP,539000,SACOS DE DORMIR ARIDOS PIXELADOS -,2012-07-12,2012-12-12,2012
167,FEKA INSAAT SAN VE TIC AS,TUR,2657728,ISAF HQ - REAR ENTRY CONTROL POINT,2012-07-12,2012-12-12,2012
168,FEKA INSAAT SAN VE TIC AS,TUR,5376260,CONSOLIDATED CIS FACILITY - CONSTRUCTION,2012-07-12,2012-12-12,2012
169,FIBROTEX TECHNOLOGIES LTD,ISR,99240,STATIC CAMOUFLAGE NET,2012-07-12,2012-12-12,2012
170,FLIR SYSTEMS INC,USA,229986,SEE SPOT III+,2012-07-12,2012-12-12,2012
171,G3 SYSTEMS LTD,GBR,108939,FIRE TRUCK ELEC.POWER SUP,2012-07-12,2012-12-12,2012
172,G3 SYSTEMS LTD,GBR,275224,CRITICAL SPARES FOR R3,2012-07-12,2012-12-12,2012
173,GENERAL DYNAMICS,ESP,469260,GRENADES 40X53MM,2012-07-12,2012-12-12,2012
174,GENERAL DYNAMICS,ESP,151760,"CARTRIDGE,12.7 MM",2012-07-12,2012-12-12,2012
175,GENERAL DYNAMICS CANADA LTD,CAN,91146,PROCUREMENT OF PARTS,2012-07-12,2012-12-12,2012
176,GENERAL ELECTRIC CO,USA,597513,SUPPLIES FOR FIXED WING AIRCRAFT,2012-07-12,2012-12-12,2012
177,GENERAL ELECTRIC CO,USA,148411,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
178,GLOBAL AVIATION + PIPER PARTS,,,,2012-07-12,2012-12-12,2012
179,,DEU,110825,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
180,GMBH,,,,2012-07-12,2012-12-12,2012
181,GOLDECK TEXTIL GMBH (CARINTHIA),AUT,199082,EXPLORER II PLUS,2012-07-12,2012-12-12,2012
182,GOLDECK TEXTIL GMBH (CARINTHIA),AUT,235800,SLEEPING BAG DEFENCE 4 185,2012-07-12,2012-12-12,2012
183,GOLDECK TEXTIL GMBH (CARINTHIA),AUT,260840,SLEEPING BAG TROPEN SIZE 200,2012-07-12,2012-12-12,2012
184,GOLDECK TEXTIL GMBH (CARINTHIA),AUT,599760,SLEEPING BAG DEFENCE 4 SIZE 200,2012-07-12,2012-12-12,2012
185,GOLDECK TEXTIL GMBH (CARINTHIA),AUT,1352850,SLEEPING BAG DEFENCE 4 SIZE 200,2012-07-12,2012-12-12,2012
186,GSSI GROUPE SECURITE SERVICE,,,,2012-07-12,2012-12-12,2012
187,,FRA,108732,ENSEMBLE DE TRANSMISSION ANALOGIQUE,2012-07-12,2012-12-12,2012
188,INDUSTRIE,,,,2012-07-12,2012-12-12,2012
189,GSSI GROUPE SECURITE SERVICE,,,,2012-07-12,2012-12-12,2012
190,,FRA,241490,KIT DOUBLE COMMUNICATION,2012-07-12,2012-12-12,2012
191,INDUSTRIE,,,,2012-07-12,2012-12-12,2012
192,GSSI GROUPE SECURITE SERVICE,,,,2012-07-12,2012-12-12,2012
193,,FRA,247852,SYSTÈME DE VIDÉO-SURVEILLANCE JOUR-,2012-07-12,2012-12-12,2012
194,INDUSTRIE,,,,2012-07-12,2012-12-12,2012
195,GSSI GROUPE SECURITE SERVICE,,,,2012-07-12,2012-12-12,2012
196,,FRA,248558,KIT DOUBLE COMMUNICATION,2012-07-12,2012-12-12,2012
197,INDUSTRIE,,,,2012-07-12,2012-12-12,2012
198,GUDBRANDSDAL INDUSTRIER AS,NOR,156237,LABOUR RATE PER HOUR,2012-07-12,2012-12-12,2012
199,HARRIS CORP,USA,487924,ACQUISITION OF SPARES FOR RAVEN,2012-07-12,2012-12-12,2012
200,HECKLER & KOCH FRANCE SAS,FRA,385883,CARTRIDGES 40MM,2012-07-12,2012-12-12,2012
201,HELIAVIAS HAVA DIS TICARET,TUR,157348,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
202,HELIAVIAS HAVA DIS TICARET,TUR,195738,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
203,HELIAVIAS HAVA DIS TICARET,TUR,439258,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
204,HELIAVIAS HAVA DIS TICARET,TUR,144730,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
205,HELIAVIAS HAVA DIS TICARET,TUR,105514,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
206,HELIAVIAS HAVA DIS TICARET,TUR,255961,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
207,HELIAVIAS HAVA DIS TICARET,TUR,192472,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
208,HELIAVIAS HAVA DIS TICARET,TUR,181174,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
209,HELIAVIAS HAVA DIS TICARET,TUR,119498,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
210,HELIAVIAS HAVA DIS TICARET,TUR,97619,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
211,HELIAVIAS HAVA DIS TICARET,TUR,143236,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
212,HELIAVIAS HAVA DIS TICARET,TUR,223366,SUPPLY OF SPARE PARTS,2012-07-12,2012-12-12,2012
213,HELI-ONE (NORWAY) AS,NOR,769742,PROVISION OF SERVICES FOR HELICOPTER,2012-07-12,2012-12-12,2012
214,HERKULES FAHRZEUGLOGISTIK,,,,2012-07-12,2012-12-12,2012
215,,DEU,76041,SHOCK ABSORBER DIRECT ACTION,2012-07-12,2012-12-12,2012
216,GMBH,,,,2012-07-12,2012-12-12,2012
217,HERKULES FAHRZEUGLOGISTIK,,,,2012-07-12,2012-12-12,2012
218,,DEU,76041,SHOCK ABSORBER DIRECT ACTION,2012-07-12,2012-12-12,2012
219,GMBH,,,,2012-07-12,2012-12-12,2012
220,HESCO BASTION LTD,GBR,104328,WALL PROTECTIVE RAP,2012-07-12,2012-12-12,2012
221,HESCO BASTION LTD,GBR,106403,WALL PROTECTIVE PER,2012-07-12,2012-12-12,2012
222,HESCO BASTION LTD,GBR,170342,WALL PROTECTIVE RAP,2012-07-12,2012-12-12,2012
223,HOFFMAN ENGINEERING,,,,2012-07-12,2012-12-12,2012
224,CORPORATION,USA,487559,TEST SET DIGITAL NIGHT VISION GOGGL,2012-07-12,2012-12-12,2012
225,HOSPILUX SA,LUX,251250,FIRST AID PACKETS,2012-07-12,2012-12-12,2012
226,HOSPILUX SA,LUX,251250,FIRST AID PACKETS,2012-07-12,2012-12-12,2012
227,HUNTER DEFENSE TECHNOLOGIES,,,,2012-07-12,2012-12-12,2012
228,INC,USA,167141,FILTERS,2012-07-12,2012-12-12,2012
229,IMS-GRIFFIN SP. Z O.O.,POL,104323,DBAL-A2H WITH VISIBLE RED POINTER,2012-07-12,2012-12-12,2012
230,INDAL TECHNOLOGIES INC,CAN,390881,AIRCRAFT HANDLER TYPE MANTIS,2012-07-12,2012-12-12,2012
231,INDRA SISTEMAS SA,ESP,870947,SUPPLIES FOR FIXED WING AIRCRAFT,2012-07-12,2012-12-12,2012
232,IRD ENGINEERING SRL,ITA,76800,KAIA N - CUR ENG 1461 - A&E SERVICES,2012-07-12,2012-12-12,2012
233,IRD ENGINEERING SRL,ITA,101500,ON-SITE QA - CONSOLIDATED CIS FACILITY,2012-07-12,2012-12-12,2012
234,ISS FRANCE SARL,FRA,80034,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
235,ITT CORPORATION,,,,2012-07-12,2012-12-12,2012
236,,USA,166526,SPEARNET RADIO TEST SET,2012-07-12,2012-12-12,2012
237,COMMUNICATIONS SYSTEMS,,,,2012-07-12,2012-12-12,2012
238,ITT CORPORATION,,,,2012-07-12,2012-12-12,2012
239,,USA,193169,IN-COUNTRY CONTRACT SUPPORT SERVICE,2012-07-12,2012-12-12,2012
240,COMMUNICATIONS SYSTEMS,,,,2012-07-12,2012-12-12,2012
241,ITT CORPORATION,,,,2012-07-12,2012-12-12,2012
242,,USA,251525,SPEARNET VEHICULAR COMPONENTS,2012-07-12,2012-12-12,2012
243,COMMUNICATIONS SYSTEMS,,,,2012-07-12,2012-12-12,2012
244,ITT CORPORATION,,,,2012-07-12,2012-12-12,2012
245,,USA,483144,SPEARNET (MANPACK) RADIO SYSTEM,2012-07-12,2012-12-12,2012
246,COMMUNICATIONS SYSTEMS,,,,2012-07-12,2012-12-12,2012
247,JACOBS TECHNOLOGY INC,USA,1641299,SUPPLY OF F-15 WIRING INTEGRITY TEST SYSTEM,2012-07-12,2012-12-12,2012
248,JEPPESEN GMBH,DEU,86419,PROVISION OF SERVICES FOR HELICOPTER,2012-07-12,2012-12-12,2012
249,JUNGHANS T2M SAS,FRA,3401316,"FUSES, BOMBS",2012-07-12,2012-12-12,2012
250,KBR,GBR,161359,SUPL & MAINT FPS,2012-07-12,2012-12-12,2012
251,KBR,GBR,1626320,US APOD AOS JAN,2012-07-12,2012-12-12,2012
252,KONGSBERG DEFENCE &,,,,2012-07-12,2012-12-12,2012
253,,NOR,178998,SPARES FOR SUPPORT OF PRV,2012-07-12,2012-12-12,2012
254,AEROSPACE AS,,,,2012-07-12,2012-12-12,2012
255,KRAUSS-MAFFEI WEGMANN GMBH &,,,,2012-07-12,2012-12-12,2012
256,,DEU,89281,PZH2000 SPARE PARTS,2012-07-12,2012-12-12,2012
257,CO KG,,,,2012-07-12,2012-12-12,2012
258,KRAUSS-MAFFEI WEGMANN GMBH &,,,"PURCHASE OF PRESS, HYDRAULIC, PORTABLE",2012-07-12,2012-12-12,2012
259,CO KG,DEU,101780,FOR PZH2000,2012-07-12,2012-12-12,2012
260,KRAUSS-MAFFEI WEGMANN GMBH &,,,,2012-07-12,2012-12-12,2012
261,,DEU,118593,DRUCKAUFNEHMER,2012-07-12,2012-12-12,2012
262,CO KG,,,,2012-07-12,2012-12-12,2012
263,L-3 COMMUNICATIONS,USA,1231243,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
264,L-3 COMMUNICATIONS,,,,2012-07-12,2012-12-12,2012
265,,USA,77993,"ITPIAL END ITEM, COMMERCIAL (-2A)",2012-07-12,2012-12-12,2012
266,CORPORATION,,,,2012-07-12,2012-12-12,2012
267,LEKTRON INC,USA,170258,"MOTOR, ALTERNATING CURRENT",2012-07-12,2012-12-12,2012
268,L'HOTELLIER,FRA,143500,CARTRIDGES,2012-07-12,2012-12-12,2012
269,LINKSRECHTS,,,,2012-07-12,2012-12-12,2012
270,,DEU,403000,HELICOPTER VISUAL LANDING AID SYSTE,2012-07-12,2012-12-12,2012
271,INGENIEURGESELLSCHAFT MBH,,,,2012-07-12,2012-12-12,2012
272,MAINTLOG,FRA,147040,"CHAIN ASSEMBLY,TIRE - PANHARD VAP",2012-07-12,2012-12-12,2012
273,MAINTLOG,FRA,222700,"CHAIN ASSEMBLY,TIRE - RENAULT GBC18",2012-07-12,2012-12-12,2012
274,MAKINA VE KIMYA ENDUSTRISI,,,,2012-07-12,2012-12-12,2012
275,,TUR,462500,"CARTRIDGE 20 MM,PRACTICE",2012-07-12,2012-12-12,2012
276,KURUMU,,,,2012-07-12,2012-12-12,2012
277,MAN & MATERIAL LIFT,USA,1256486,SUPPLY OF BOOM LIFTS WITH FALL ARREST SYSTEM,2012-07-12,2012-12-12,2012
278,MANIMPORT HI TECH SA,ESP,191487,UMPC SWITCHBACK COMPUTER,2012-07-12,2012-12-12,2012
279,MARSHALL SPECIALIST VEHICLES,,,,2012-07-12,2012-12-12,2012
280,,GBR,178403,OPTION 64 COUPES,2012-07-12,2012-12-12,2012
281,LTD,,,,2012-07-12,2012-12-12,2012
