,contractor,country,value_in_euro,order_purpose,period_start,period_end,year
1072,LOCKHEED MARTIN OVERSEAS CORP,USA,5857416,"PROCUREMENT OF 100 EA, P/N 7280778G001 AND OTHER ITEMS FOR ANTENNA ELEMENT",2013-07-13,2013-12-13,2013
1073,LOCKHEED MARTIN OVERSEAS CORP,USA,5682359,(ROW FEED) - AN/FPS-117 RADARS UPGRADE OF AN/FPS-117 RADARS,2013-07-13,2013-12-13,2013
1074,MARLBOROUGH COMMUNICATIONS,,,,2013-07-13,2013-12-13,2013
1075,,GBR,202440,PROCUREMENT OF RADIO SET,2013-07-13,2013-12-13,2013
1076,LTD,,,,2013-07-13,2013-12-13,2013
1077,MARLBOROUGH COMMUNICATIONS,,,PROCUREMENT OF TRANSCEIVER POWER SUP.,2013-07-13,2013-12-13,2013
1078,LTD,GBR,103993,AND ANTENNAS,2013-07-13,2013-12-13,2013
1079,MARSHALL LAND SYSTEMS LTD,GBR,180864,DARS-QRP TOOLS SPARE,2013-07-13,2013-12-13,2013
1080,MIETSEL SA,GRC,879640,SUPPLY OF 20 EA DISK ASSEMBLY P/N: C20335000/B,2013-07-13,2013-12-13,2013
1081,MIETSEL SA,GRC,212418,SUPPLY OF STATOR GENERATOR FOR KT1T AIRCRAFT,2013-07-13,2013-12-13,2013
1082,MILANO SYSTEMS,ITA,448527,HIGH SPEED CAMERA,2013-07-13,2013-12-13,2013
1083,MOTOTOK INTERNATIONAL GMBH,DEU,390642,WHEELED TRACTOR,2013-07-13,2013-12-13,2013
1084,NAMMO BUCK GMBH,DEU,4194795,DEMIL AMMUNITION,2013-07-13,2013-12-13,2013
1085,NAMMO LAPUA OY,FIN,171517,CARTRIDGES,2013-07-13,2013-12-13,2013
1086,NAMMO RAUFOSS A/S,NOR,12643536,CARTRIDGES 12.7 MM,2013-07-13,2013-12-13,2013
1087,NORO CONSTRUCTION COMPANY,TUR,1681029,IMPROVE WATER DIST SYSTEM,2013-07-13,2013-12-13,2013
1088,OBERMEYER PLANEN UND,DEU,94189,SERVICES IN SUPPORT OF FUEL INFRASTRUCTURE INSPECTION,2013-07-13,2013-12-13,2013
1089,OFFICINA AUTOELETTRICA,,,FULL DEPOT LEVEL & FIELD SUPPORT,2013-07-13,2013-12-13,2013
1090,GROSSETANA,ITA,1182246,MAINTENANCE SERVICES,2013-07-13,2013-12-13,2013
1091,OMP ENGINEERING SRL,ITA,96297,SUPPLY OF ASSIEME LD3 AVIODIS,2013-07-13,2013-12-13,2013
1092,PALL FRANCE SAS,FRA,148148,SUPPLY OF FAN,2013-07-13,2013-12-13,2013
1093,PDI GROUND SUPPORT SYSTEMS,,,,2013-07-13,2013-12-13,2013
1094,,USA,201621,PROVISION OF GROUND HANDLING TRAILERS,2013-07-13,2013-12-13,2013
1095,INC.,,,,2013-07-13,2013-12-13,2013
1096,PIAGGIO AERO INDUSTRIES SPA,ITA,140600,SUPPLY OF SPARE PARTS FOR VIPER ENGINE,2013-07-13,2013-12-13,2013
1097,PLAN AERO SA,GRC,166290,"SUPPLY OF HOUSING ASSY LH, HOUSING ASSY RH,O-RING SET AND GAS CYLINDER HIGH P",2013-07-13,2013-12-13,2013
1098,PRIMETAKE LTD,GBR,266211,PROCUREMENT OF THE CARTRIDGES SCAREBIRD,2013-07-13,2013-12-13,2013
1099,RAYTHEON CO,USA,651576,SUPPLY PATRIOT ANTENNA ELEMENT,2013-07-13,2013-12-13,2013
1100,RAYTHEON COMPANY,USA,523183,ESS CLS SUPPORT SERVICES,2013-07-13,2013-12-13,2013
1101,REPAIRCRAFT PLC,GBR,173626,MAIN ENGINE INTERFACE,2013-07-13,2013-12-13,2013
1102,RHEINMETALL DEFENCE,,,,2013-07-13,2013-12-13,2013
1103,,DEU,180300,MSP INTERFACE SIMULATION UNIT,2013-07-13,2013-12-13,2013
1104,ELECTRONICS,,,,2013-07-13,2013-12-13,2013
1105,RHEINMETALL WAFFE MUNITION,,,,2013-07-13,2013-12-13,2013
1106,,DEU,238654,GRENADES,2013-07-13,2013-12-13,2013
1107,GMBH,,,,2013-07-13,2013-12-13,2013
1108,RHEINMETALL WAFFE MUNITION,,,,2013-07-13,2013-12-13,2013
1109,,DEU,120600,PURCHASE OF 27X145MM TP DM28,2013-07-13,2013-12-13,2013
1110,GMBH,,,,2013-07-13,2013-12-13,2013
1111,RHEINMETALL WAFFE MUNITION,,,,2013-07-13,2013-12-13,2013
1112,,DEU,1529222,AMMUNITION 40X46 MM TP MARKER,2013-07-13,2013-12-13,2013
1113,GMBH,,,,2013-07-13,2013-12-13,2013
1114,ROCKWELL COLLINS INC,USA,105384,SUPPLY OF 10 EA ELECTRON TUBES,2013-07-13,2013-12-13,2013
1115,ROCKWELL COLLINS INC,USA,231464,MLT UPGRADE,2013-07-13,2013-12-13,2013
1116,RODA MILDEF GMBH,DEU,88104,PROCUREMENT OF RUGGEDIZED TABLET PC 15 IN.,2013-07-13,2013-12-13,2013
1117,ROEDER PRAEZISION GMBH,DEU,152440,SUPPLY OF ENGINE FOR T182T CESSNA AIRCRAFT,2013-07-13,2013-12-13,2013
1118,ROLLS-ROYCE,GBR,1015260,SUPPLY OF SPARE PARTS FOR VIPER ENGINE,2013-07-13,2013-12-13,2013
1119,ROLLS-ROYCE,GBR,4026011,SUPPLY OF SPARE PARTS FOR VIPER ENGINE,2013-07-13,2013-12-13,2013
1120,ROLLS-ROYCE,GBR,318255,SUPPLY OF SPARE PARTS FOR VIPER ENGINE,2013-07-13,2013-12-13,2013
1121,ROLLS-ROYCE,GBR,468103,SUPPLY OF SPARE PARTS FOR VIPER ENGINE,2013-07-13,2013-12-13,2013
1122,ROLLS-ROYCE,GBR,1563623,SUPPLY OF SPARE PARTS FOR VIPER ENGINE,2013-07-13,2013-12-13,2013
1123,ROLLS-ROYCE,GBR,4166459,SUPPLY OF SPARE PARTS FOR VIPER ENGINE,2013-07-13,2013-12-13,2013
1124,ROLLS-ROYCE,GBR,137962,SUPPLY OF SPARE PARTS FOR VIPER ENGINE,2013-07-13,2013-12-13,2013
1125,ROLLS-ROYCE CORPORATION,USA,5906608,SUPPLY OF AE2100-D3 ENGINE SPARE PARTS AND KITS FOR C-130J FLEET,2013-07-13,2013-12-13,2013
1126,ROMARM SA (CN),ROU,517000,PURCHASE OF 12.7 MM AMMUNITION,2013-07-13,2013-12-13,2013
1127,ROSENBAUER DEUTSCHLAND GMBH,DEU,249128,QTY 1 ROSENBAUER TLF 7000 STOCK UNIT,2013-07-13,2013-12-13,2013
1128,RWS CETUS,POL,248371,"SUPPLY OF CONVERSION KIT,HK USP STANDARD",2013-07-13,2013-12-13,2013
1129,RWS CETUS,POL,333835,CONVERSION KITS M16 AND G36,2013-07-13,2013-12-13,2013
1130,SAAB AB,SWE,199324,SPARE PARTS FOR THE KSP 58,2013-07-13,2013-12-13,2013
1131,SAAB DYNAMICS AB,SWE,2219569,AMMUNITION RBS 70 MK2-1 FOR CZECH'S,2013-07-13,2013-12-13,2013
1132,SAAB DYNAMICS AB,SWE,150000,CARL GUSTAV LAUNCHERS GL M3,2013-07-13,2013-12-13,2013
